date,time,narration,ref,debit,credit,balance,channel
2026-08-10,10:25:10,UPI/P2M/BIGBASKET/622310251019,622310251019,1850,,40150,UPI
2026-08-11,08:15:40,UPI/P2M/CHAI-POINT/622408154019,622408154019,110,,40040,UPI
2026-08-11,14:50:30,UPI/P2M/SWIGGY/622414503019,622414503019,540,,39500,UPI
2026-08-12,11:05:18,IMPS/P2P/ref 66109,66109,,240000,279500,IMPS
2026-08-12,12:15:00,NEFT/OUT/…8812,8812,235000,,44500,NEFT
2026-08-13,11:40:20,UPI/P2M/HPCL-PETROL/622611402019,622611402019,2000,,42500,UPI
2026-08-13,19:15:10,UPI/P2M/ZEPTO/622619151019,622619151019,420,,42080,UPI
2026-08-14,11:49:20,IMPS/P2P/ref 88147,88147,,798180,840260,IMPS
2026-08-14,12:30:00,NEFT/OUT/…6619,6619,750000,,90260,NEFT
2026-08-14,13:10:00,ATM WDL SEC-17 CHD,ATM1701,40000,,50260,ATM
2026-08-15,09:05:30,UPI/P2M/BLINKIT/622809053019,622809053019,310,,49950,UPI
2026-08-15,16:35:40,IMPS/P2P/ref 72418,72418,,175000,224950,IMPS
2026-08-15,17:15:00,RTGS/OUT/…9921,9921,170000,,54950,RTGS
2026-08-16,10:30:15,UPI/P2M/CHAAYOS/622910301519,622910301519,180,,54770,UPI
2026-08-16,15:45:20,UPI/P2M/RELIANCE-FRESH/622915452019,622915452019,1120,,53650,UPI
